RecordId,Name,PhdEntityType,TagNo,Active,Description,ParentTag,ClassTag,TagUnits,Tolerance,ToleranceType,Collection,DemandCalculation,ManualInput,PutDownload,DataStore,RangeChkDisable,DataEdit,ArchiveResample,EPKSExceptionTag,FileStream,SourceTag,SourceTagUnits,ScanFrequency,SourceDeadband,HighExtreme,LowExtreme,Quantum,HighHighLimit,HighLimit,LowLimit,LowLowLimit,HighHighEnable,HighEnable,LowEnable,LowLowEnable,SmoothingConstant,CompressionToleranceFactor,MinimumCompressionTolerance,GrossErrorSigmaLimit,GrossErrorSamples,NoiseGateLevel,PercentRecordFill,SpecQueueSize,ExtrapolationDamping,ResampleMethod,SourceTagIndexA,SourceTagIndexB,SourceTagIndexC,SourceTagIndexD,InterpolationMethod,UserDefined1,UserDefined2,ScanTimeStampUnit,TimeStamp,ExtendedSourceTag,Asset,Item,Function,RuleName,SynchronizationEnable,DigitalEnumEnable,DigitalEnumeration,MachineName,CollectorName,SourceSystem,SourceTagType,SourceTagAttribute,SourceName,CompressionSetting,VirtualTagCalculation,,
25,RTOR.F001CA.PVFL,T,25,TRUE,F001 RUN,,FALSE,,,,TRUE,,,,TRUE,,,,,,#N/A,,60,,999999999,-999999,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,EMR_01,OPC,F4,VALUE,,-1,,,
,AI120004B,T,,TRUE,高压脱丙烷塔塔顶  C4S,,FALSE,,,,TRUE,,,,TRUE,,,,,,DVSYS.A151AI1_20004B/AI1/PV.A_CV,mol%,60,,999999999,-999999,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,EMR_01,OPC,F4,VALUE,,-1,,,
,AI220001,T,,TRUE,碱洗塔顶裂解气出料  CO,,FALSE,,,,TRUE,,,,TRUE,,,,,,DVSYS.A151AI2_20001/AI1/PV.A_CV,mol%,60,,999999999,-999999,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,EMR_01,OPC,F4,VALUE,,-1,,,
,FIC00003,T,,TRUE,低压蒸汽去汽化器E-023,,FALSE,,,,TRUE,,,,TRUE,,,,,,DVSYS.A151FIC_00003/PID1/PV.A_CV,kg/h,60,,999999999,-999999,-1,,,,,,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,EMR_01,OPC,F4,VALUE,,-1,,,
